School Giga ID,School Name,Longitude,Latitude,Education Level,Country ISO3 Code,Country Name,School Data Source
7ac52dd1-2b1e-36a0-a0a6-c3b7d2a12de3,BOITELO,27.47930335998535,-29.317127227783203,Primary,LSO,Lesotho,
a389736d-7c11-34ef-8084-f799c048d182,BOITELO,28.540000915527344,-29.21339988708496,Primary,LSO,Lesotho,
6f4d1bf9-d19f-3df6-834a-45638a89d733,BOITELO ENGLISH MEDIUM,27.299999237060547,-29.799999237060547,Primary,LSO,Lesotho,
bd7c998f-a1ac-31fb-8788-97892b103031,BOITELO (LIKHETLANE),27.93438148498535,-28.9791259765625,Secondary,LSO,Lesotho,
e9307466-9da6-342a-b5f6-37e2b3ed85f3,BOITHATELO G. SCHOOL,28.488765716552734,-30.067853927612305,Primary,LSO,Lesotho,
bda805d5-bb43-38d6-8b25-2ece7e1e47c7,BOITHATELO SECONDARY SCHOOL,28.5,-30.100000381469727,Secondary,LSO,Lesotho,
d26ea8d7-f471-39b2-a9ba-82db8272644e,BOKANG GOVERNMENT SECONDARY,27.200000762939453,-29.799999237060547,Secondary,LSO,Lesotho,
f1fe0d3f-3a55-3f48-a3f3-6f5a088e488d,BOKANG GOV PRIMARY,27.200000762939453,-29.799999237060547,Primary,LSO,Lesotho,
04534274-be27-3757-a3bb-c32c575def5d,BOKHOASA PRIMARY SCHOOL,28.892995834350586,-29.560571670532227,Primary,LSO,Lesotho,
0b365899-3c8c-3956-b359-e4e01cd0aae8,BOKOKO PRIMARY,27.5,-29.399999618530273,Primary,LSO,Lesotho,
f778cebc-46b5-308a-97ec-6309ce0b1f91,BOKONG COMMUNITY SEC.,28.457548141479492,-29.3398494720459,Secondary,LSO,Lesotho,
5822d4b7-171b-304f-8c5a-d59cf3cfed95,BOKONG-LITSEBE,28.111391067504883,-29.356624603271484,Primary,LSO,Lesotho,
08739184-277a-3031-8f4b-dcfb969eaa77,BOKORO,28.405120849609375,-28.766386032104492,Secondary,LSO,Lesotho,
876c1f65-6d0c-3f5d-8ec3-72e37e2f91ea,BOKORO PRIMARY,28.405553817749023,-28.763654708862305,Primary,LSO,Lesotho,
e7fde199-4453-3a25-9ddb-b5604f77dc2a,BOLAHLA,28.234346389770508,-29.03956413269043,Primary,LSO,Lesotho,
144a2382-b1f0-3ac9-ae5f-6d9a9d5b3fcd,BOLAHLA,28.3780460357666,-30.079343795776367,Primary,LSO,Lesotho,
a4d6296e-3fcd-30bc-bb27-a32fd0206839,BOLAHLA-LITAU,27.817867279052734,-30.415739059448242,Primary,LSO,Lesotho,
fd454e84-20e4-3bb4-b650-af1e21c2ff90,BOLATELLA,27.600000381469727,-30.0,Primary,LSO,Lesotho,
a94eb4ca-b6d0-392d-8613-3d4e468c7fc2,BOLEKA,27.376708984375,-29.68140983581543,Primary,LSO,Lesotho,
47faea53-afee-38b9-9fb3-57e41d5fbc03,BOLEPELETSA,27.59660530090332,-30.439062118530273,Primary,LSO,Lesotho,
